dataset,model_name,optimizer,regularization,weight_decay,augmentation,params,threshold_pixel,threshold_feature,threshold_combined,selected_threshold_method,selected_score,auroc_pixel,prauc_pixel,auroc_feature,prauc_feature,auroc_combined,prauc_combined,best_f1_pixel,best_f1_feature,best_f1_combined,accuracy_combined_f1,precision_combined_f1,recall_combined_f1,f1_combined_f1,train_loss_last,val_loss_last,best_val_loss,advanced_description
hazelnut,baseline,adam,weight_decay,0.0001,False,777987,0.0007885787868872285,0.008571658656001088,0.5603412642920644,val95,combined_score,0.888768115942029,0.9368975167389415,0.8815217391304349,0.9387655110605045,0.8884057971014494,0.9402640487057674,0.8529411764705882,0.8702290076335878,0.8613138686131386,0.8256880733944955,0.8676470588235294,0.855072463768116,0.8613138686131386,0.0003612269050790928,0.0013749819209127204,0.0005328424445860371,Convolutional Autoencoder baseline
hazelnut,advanced,adam,weight_decay,0.0001,False,2906336,0.000831081456271931,0.009458748005330564,0.6856137773278798,val95,pixel_score,0.7188405797101449,0.8576226414852288,0.7047101449275361,0.8414809377957901,0.7152173913043478,0.8508231062484188,0.7727272727272727,0.788235294117647,0.7796610169491526,0.6422018348623854,0.6388888888888888,1.0,0.7796610169491526,0.0215801983140409,0.0013938529786795284,0.0005689079142352448,"Denoising Attention Residual Autoencoder with SE Block, Bottleneck Self-Attention, MSE+SSIM+Perceptual Loss"
hazelnut,baseline,sgd,weight_decay,0.0001,False,777987,0.054405694454908365,8.500867843627928,0.6760359013443414,val95,combined_score,0.868840579710145,0.9250038253045768,0.6971014492753623,0.8338597402616366,0.7768115942028985,0.8776258624206227,0.851063829787234,0.7931034482758621,0.7975460122699386,0.6972477064220184,0.6914893617021277,0.9420289855072463,0.7975460122699386,0.04883221201598644,0.04768059709215466,0.04768059709215466,Convolutional Autoencoder baseline
hazelnut,baseline,adam,augmentation,0.0,True,777987,0.0005832215247210111,0.014427875913679597,0.6716406060051052,val95,combined_score,0.8492753623188406,0.9149670129359364,0.7670289855072464,0.8804645620679434,0.8101449275362318,0.8970412257586418,0.8299319727891157,0.783625730994152,0.8076923076923077,0.7247706422018348,0.7241379310344828,0.9130434782608695,0.8076923076923077,0.0007325716695049777,0.0006862605739196267,0.0003911782928471324,Convolutional Autoencoder baseline
bottle,baseline,adam,weight_decay,0.0001,False,777987,0.0019284389272797848,0.003177647455595434,0.8269999408155698,val95,pixel_score,0.4888888888888889,0.8052081919310032,0.5103174603174604,0.7895211609012273,0.5023809523809524,0.7892539770366105,0.8551724137931035,0.8551724137931035,0.8551724137931035,0.7469879518072289,0.7560975609756098,0.9841269841269841,0.8551724137931035,0.0010340390991504219,0.003793210456413882,0.0016406492435462063,Convolutional Autoencoder baseline
bottle,advanced,adam,weight_decay,0.0001,False,2906336,0.0032783525530248876,0.010462562173139305,0.8106299318667236,val95,feature_score,0.6944444444444444,0.8993257580607914,0.876984126984127,0.9570053575183194,0.8468253968253968,0.9480435104371236,0.8551724137931035,0.9185185185185185,0.8955223880597015,0.8313253012048193,0.8450704225352113,0.9523809523809523,0.8955223880597015,0.038688183508136055,0.002907421489778374,0.002907421489778374,"Denoising Attention Residual Autoencoder with SE Block, Bottleneck Self-Attention, MSE+SSIM+Perceptual Loss"
bottle,baseline,sgd,weight_decay,0.0001,False,777987,0.13552380204200745,0.004182383208535612,0.7436961973519921,val95,pixel_score,0.273015873015873,0.6491133017593826,0.2722222222222222,0.6539509711235106,0.2634920634920635,0.643890445533716,0.8551724137931035,0.8551724137931035,0.8551724137931035,0.7469879518072289,0.7560975609756098,0.9841269841269841,0.8551724137931035,0.13631075485186142,0.13620454356783912,0.13409470270077387,Convolutional Autoencoder baseline
bottle,baseline,adam,augmentation,0.0,True,777987,0.0015405733138322828,0.003471304150298238,0.7952098817433221,val95,pixel_score,0.5253968253968254,0.8152734276806095,0.6976190476190476,0.8845316269849297,0.6341269841269841,0.8649112403638828,0.8551724137931035,0.8592592592592593,0.8551724137931035,0.7469879518072289,0.7560975609756098,0.9841269841269841,0.8551724137931035,0.002208961618386886,0.0013038862879121943,0.0012991061583826585,Convolutional Autoencoder baseline
cifar,baseline,adam,weight_decay,0.0001,False,777987,0.0026365266647189836,1.692880377959227e-05,0.24281708182693523,val95,pixel_score,0.6489586666666667,0.935313170295489,0.6631271111111112,0.9325243475567019,0.6736458888888889,0.9353289013777571,0.9474182851729038,0.9475908706677938,0.9476793248945148,0.9008,0.9020080321285141,0.9982222222222222,0.9476793248945148,0.001636797445360571,0.001107020287134219,0.0009259568352863425,Convolutional Autoencoder baseline
cifar,advanced,adam,weight_decay,0.0001,False,2906336,0.0026475302060134705,0.003368849787394993,0.3566721774521663,val95,feature_score,0.6047257222222222,0.9275165970298779,0.7784782222222222,0.9638352051997952,0.7702735555555555,0.962247224320947,0.9474182851729038,0.9487397639051367,0.948351358480612,0.9021,0.9028628829733802,0.9986666666666667,0.948351358480612,0.00715240257140249,0.0009521264010472805,0.0008949830195451795,"Denoising Attention Residual Autoencoder with SE Block, Bottleneck Self-Attention, MSE+SSIM+Perceptual Loss"
cifar,baseline,sgd,weight_decay,0.0001,False,777987,0.015572052216157314,0.2588347777724266,0.23476333183432205,val95,pixel_score,0.6277305555555556,0.9279206755184626,0.5399187222222221,0.895496384870621,0.5677371111111111,0.9071772655460658,0.9474681545425835,0.9475125032903395,0.9475180291624994,0.9003,0.9002700810243073,1.0,0.9475180291624994,0.008254748998209833,0.006464640603517182,0.006464640603517182,Convolutional Autoencoder baseline
cifar,baseline,adam,augmentation,0.0,True,777987,0.0004989287204807623,0.006861695647239685,0.02715769347961387,val95,pixel_score,0.6441740555555555,0.9264869949416318,0.6413098888888888,0.9295170035897731,0.6432063333333333,0.9286182023957292,0.9474182851729038,0.9474182851729038,0.9474182851729038,0.9001,0.9000900090009001,1.0,0.9474182851729038,0.0008656697892583906,0.00031551365969789913,0.00023414362338007778,Convolutional Autoencoder baseline
